,restaurant_id,restaurant_name
106,YtNSqHepgRNukO8wfRXxqQ,El Salvador Restaurant
107,pEfyNoWrbS-vqigWWUjYeQ,Elysian Cafe
108,kDhKJOMcYYo3D16UV4Prqg,Empanadas Cafe
109,Jrc0eg4j5VIi4H6VuUpG5g,Employees Only
110,CiGm_8tdJDNtf3uRcBH3Gw,EN Japanese Brasserie
111,Y-zUEayLf2h_cHfP6StYdg,Entwine
112,4v29rYYaotkYeWz3smDMnw,Eureka
113,W103GoFIwr-31Xs38udzCg,Farside Bar & Grill
114,pfx6ulLQZtkkL6DtQyJmtg,Field House Grill
115,2G1YuuYnuRpz4qVutqXc5A,Fig & Olive
116,n8flFkPiygYpF_vH6fnjjA,Fiore Deli of Hoboken
117,tBixPqR6YMKfiFIMCc9Ktw,Flatbread Grill
118,pF8S0dAL0KEPH9Tz0GLHuQ,Flip Sigi
119,VxqFAi7vNkWMBwZXRga8vw,Fort Gansevoort BBQ
120,jCOtwtF9lmwU7hsiGsCLiA,Fox and Crow
121,wpovcdTqGMj3-s87hQ3oRA,Franâ€™s Italian Deli
122,j0znhcPQsrbWYtTisUFD7w,Frankie & Avaâ€™s Italian Eatery
123,uKmTH5N7evuCY0_CF6IpKg,Funjabi
124,4B37ztVfPpk_WipjlBuqQA,Garden State Restaurant
125,m13qKwBXZDknzD6B2mycFg,GFG Bakery
126,iG5DVE8PYjuSGjDB0icKmg,Ginoâ€™s Pizzeria
127,Wc8O2qhNJoEwuD3eOAmLsw,Giorgione
128,Evp1lUA9XQG4KTg-y5MtzQ,GNRâ€™s La Concha
129,6wg-plyXFXT8ozNtG7dXWw,Gogi Grill - Hoboken
130,PIFUUEwr6QHzqAcFWdZDZQ,Gold Roast Cafe
131,N0d3bfxufd2BeM-DG3N_0g,Good Year Chinese Cuisine
132,zhts5Ex3HQCkJisZQ1wdxA,GPâ€™s Restaurant
133,VxPlkw1fmNLiuQuvTEqAGg,Grand Vin
134,VxPlkw1fmNLiuQuvTEqAGg,Grand Vin
135,5KigKMJ2GRTrLW_iZFeJ-g,Greektown
136,TAY8uElJtUet8dbUCEeMyg,Green Pear Cafe
137,7wbQyQRjH2qzUDd9FGCZ1Q,Grimaldiâ€™s
138,Uer9c2wJTA1hyP-T1CgrUw,Grubbs Take Away
139,N1q3gmA75NiDmN7ODS5VhA,Halifax
140,N1q3gmA75NiDmN7ODS5VhA,Halifax
141,E5Bh5lK9_kc20wxjhG4Kkw,Hamilton Pork
142,rm_zyWlNb_4g3LONJ42-yg,Hansel â€˜n Griddle
143,OWFk-yJWha5NCSt4UwfGxg,Heermance Farm Purveyors
144,5gssgFLefaZAjegjRVCpUw,Hi-So Thai
145,ylLHipZ3vFcc097n1susgQ,Hoboken Bar & Grill
146,kqjC8uBcNK2KQoL_e2kocw,Hoboken Burrito
147,pEmD0M5yfW9gxk0zCQdGNw,Hoboken Turtle Club
148,MzOV4uToZQuqXxVey_u1Sg,honeygrow
149,9LzHjIEZBJpKeyN87dFXFg,Hot House Pizza
150,2I-kOrDVaXBfeBDgfW2wAg,Hotel Victor Bar & Grill
151,_5ixRpe7N7RhohJYrWruBQ,Houlihanâ€™s
152,m73NgYcU8YmmKKs4-Mo1bw,House of Que
153,m73NgYcU8YmmKKs4-Mo1bw,House of Que
154,bkJh4aHqIDmpVMu7oDFMmA,Houseman
155,MtP8Iju5pfTjgk7Y3CKzdw,Hudson Clearwater
156,_iGvMoYkGC34ntwXf7rxQA,Hudson Hound
157,Lr7tUNSLfNE10b7Pw5xTBw,Hudson Tavern
158,1IcMIfFvp8-FnS8W0sFdzA,Hudson Ultra Bar
159,ElEkOTP51pLQCOUkG-m7sg,Illuzion
160,DwnKNjnhk2N38Vj0Qdvj5A,Jack Austinâ€™s
161,X9S7np7LDlElwc_UnRA02g,JeJu Noodle Bar
162,IxoH43vCkIyv6gZgOHme6Q,Johnâ€™s Lunchonette
163,APDnDbcep_gSlhOs_OClEA,Johnny Pepperoni
164,Q1JpSIZJfBlaZhbexLePfA,Juana & Gloria
165,Xp_c9WFlyBCASM2awS5KRg,KaÃ±a Tapas Bar
166,Y2jvyZwfzIKUeXqlT2bUjg,Karma Kafe
167,dKkvp49BgQ-kvxzxCoXG2g,Keming Restaurant
168,HZNoNEYtBiXBGZLIr7oeqg,King Szechuan Palace
169,YKUYpySOPY5jqlDFUKlhEg,Kobeyaki
170,YKUYpySOPY5jqlDFUKlhEg,Kobeyaki
171,VLZLzKV8_cFk7MEE-uJlVg,Komegashi Too
172,lkMnAfIuhTgTUQp0stBZUg,Koro Koro
173,NWoAw7Cv2vZfvbAh3YPMkQ,La Casa
174,blQNQLnrzbUNyjvSNNdLHw,La Fusta Restaurant
175,bhsffXE6j048W6N0cNZnFQ,La Isla Restaurant
176,dyKX_XhUKW4dG0rZzJgZhA,La Isla Restaurant - Uptown
177,5x7tpjX_j9HjYHDxaAJ6nQ,La Unica Bakery
178,UAkdzp__CGOPEdGhRR_7wA,Lâ€™Atelier de JoÃ«l Robuchon
179,wRoYcxItbLnD622GamlGnQ,Latin BBQ
180,TAxO-Za2arspxi29ZGKq_A,Leeâ€™s Chinese Restaurant
181,Tbq2d5lRfW_sByEXM848OQ,Left Bank
182,Cjdncsz8zv5M0A6hvFjxsg,Leoâ€™s Grandevous
183,ECcQhnG9HFbl-ChHNxhreQ,Lisaâ€™s Italian Deli
184,graaDtpn1t_fLOGxHaWfXw,Lo-Fatt-Chow
185,S9jzJE3qcRdKwGn_5y2qpQ,Local & Vine
186,w-WRTKs6Ots-U8QfWm1gJg,Lolaâ€™s
187,dcbgIXtIuIN03cd8uV9rVQ,Loradellaâ€™s Family Pizzeria
188,DBJzdJyorCUf7V8MJgadtQ,Los Amigos Restaurant
189,rOq4YRdcF9lI05wAFRe8OQ,Los Tacos No.1
190,c8Xz0igLOcJgOoYHoHPzbQ,Los Tres Chilitos
191,fuByjvypapyAdzKJoXBMAA,Losurdoâ€™s Italian Bakery & Deli
192,eKCcIb0x4WiPGygXfVlgpQ,Low Fidelity
193,FZdJJhseC_GX6vUy8bZ3Eg,Lunaâ€™s Pizzeria & Restaurant
194,sbfCHK1jjsMDOhSOyCSZrw,M & P Biancamano
195,e8_J5cSXy8j5y4wATlxYzA,MÃ©mÃ© Mediterranean
196,mMfELRs8i3bNpILPUDxM6w,Makai PokÃ©
197,UxPYyT_qF6EWCmoLmNmHSg,Malaparte
198,JJN-_AEYVi9guHABB839Ew,Malatesta Trattoria
199,77dbt_OpmGITqbhnvQCqDg,Mamies Cafe
200,oOdto5ypgWM58zdZLZW_mw,Mamounâ€™s Falafel Restaurant
201,nd3h4Pu6OJldROlMK_vOAA,ManÃ  Restaurant
202,67NMJkQvp7nIw-wbBhESeg,Manhattan Bar Grill & Lounge
203,oeqyd45ngsN6hi7dJhSghw,Marcoâ€™s Italian Deli & Pizzeria
204,HWecrArMJMb2-1m1cAy4Pw,Margheritaâ€™s Pizzeria
205,y_Wkdy8rNpqa8SgidwZGXQ,Menya Sandaime
206,bcMIyFfPP8hzXHhPLCZ_FA,Midtown Philly Steaks
207,GvqlaUmCAdIgJSs59vi7Hw,Mikeâ€™s Restaurant
208,H2CyVGZZMWahvzT5ehZqRg,Mikie Squared Bar & Grill
209,PWxxGH2On4yKRQp-DEVFJw,Mision Burrito
210,cIC6v-c_amfdbqgzH5Zvdg,Miznon
211,uGRTi3_krtAJ6emI1cGztA,MONDO - DOGS
212,LiG2Icw2CR3rT-S4ype_8w,Moranâ€™s
213,ueTWQCWawsBLmp5ao-q2Gg,Morimoto
214,6aiceUvd5vWOF_hJ3Oma3w,Mr Riceâ€™s Kitchen
215,7WBAOr2bIZegnSWJF_vTtw,Mr Wraps
216,7-i731-LEIQgmv-udLsRYw,Mulliganâ€™s
217,sGhjm6uU79GHkjKSAcoZIw,Nana
218,99vtZDlfNsVdGA7XBHR9bw,Napoliâ€™s Brick Oven Pizza
219,_oBu29DIAKQhD8J2b74mWg,Napoliâ€™s Pizza
220,IQ76MqABWeqkuvIq9I8zQQ,New Thanh Hoai
221,LPxBzlF9VyFs0ALCTol9XA,Newport Cafe
222,I_SY4AhjQEzNYX8K0RV5FQ,Noches De Colombia
223,XNOUZu0rWjPzDmwDytg0Hw,Noodlefan
224,OYkS_Q9cEbih8UGRY1E6sA,Northern Soul
225,hlLw7z1-aJ_Dl-I57xZrAg,Number 1 Chinese Kitchen
226,oHprPw2t1R8I3WI-BvCVzw,Oâ€™Bagel
227,OqXP6I6zY_GT0XqkdTBRTQ,Okinawa Sushi & Grill
228,18CMPuCN4frMwYw2ri0A5Q,Old Rose
229,Kx2rLfhCkCAnKf6DtmJ8Rw,On the FlipSide
230,dy25AVKDDtCEu579tyg6eg,Onieals
231,Qns94nx45l_Jp53ZfLjAlw,Oscarâ€™s Place
232,iBpePJJ6RGKob4EvrOaCcg,Otto Strada
233,bSkWQIf1SvIQ_7PZsqUV2Q,Ozu Foods
234,w2EcqqJBZhsY7WgBcdo2Ng,Panello
235,MmvcaVpmocZVGy_XqS5q3w,Patseyâ€™s Italian American Bistro
236,vyXpwsbTtopkwfVmpTWg-Q,Paulieâ€™s Brickhouse
237,CQdDqDcrHYguvICyqmSwYA,Perry St
238,VYFI3w1APCo-B5UtjBKHoA,Philip Marie
239,0KuTIWvnbEu17akJbaXDrQ,Philippine Bread House
240,HblDdwBZIP7F1dYH5JRBag,Pho Nomenon Noodle & Grill
241,QmcjJ2eb-CNpPiN1vjoncQ,Phoenix Bar and Grille
242,Uw_bd3fsr5G1tWCTKe635Q,Piccoloâ€™s
243,8GQWBj-lha-tIxg1xyRcHA,Pier 66 Maritime
244,YSjvbQSr44FQVFb4mCquqw,Pilsener Haus & Biergarten
245,Bj5aUiSddZHiWXRC7P_qkA,Pio Pio Restaurant
246,qMrMG-jRIABgXY8OiZtGag,Pita Pit
247,GEncCngZrt7pzfxLyNUx_Q,Pizza Republic
248,XdgRhlq4nVH6gVgmbBBZiA,Pizzeria Hoboken
249,_Bi7wJPpVg7f1hVG1L6MoA,PJ Charlton
250,hbpUYkutKPzutYmpNY5xMg,Po Wong Restaurant
251,eYL2z3qqgD5glxIhCXby3w,Precious Chinese Cuisine
252,o58ImLNlv31is3tEOfE5nw,Prime Food Market
253,5RvwA48XGQETboLlNxubrw,Pure Pita
254,NZYTlUJi9yR1dkBbcogI2Q,Quality Greens Kitchen
255,r79bpZz-APZjCRs3JNNNHA,Raaz
256,Y_Yi7n1tC4ubOsQ7Zlst7Q,Renatoâ€™s Pizza Masters
257,JkY3LKb2hdmNE4azzx3Lmg,Rickyâ€™s Restaurant
258,ZqGM1HFeifLcr-Q8KaOZkA,Rivoli Pizza II
259,yy_hzwpOa0IBrav9IWa1MQ,Rizzo Bakery
260,fMdWvgWr7jCpvSaBNOYO3g,Robongi
261,4kS7bu7jR-5EnjzqmwGaBg,Rosticeria Da Gigi
262,cblrjDHAAqi-dpLNgp3Igw,Royal Grill Halal Food
263,cOw0j1B4DPHpZQ3SuEhEHw,Rumbaâ€™s Cafe
264,NRRUD83J4el6JBjtcRRBRw,Ruthâ€™s Chris Steak House
265,glnQvgt-vgUIMSgDTu0p1g,Salerno Salumeria
266,206xOVvZfDYyZ_8tRpgA_A,San Giuseppe
267,sD6Wgqnb4GdJv6nESP7KAw,San Marino Restaurante
268,nGbrc5QC8kZZksn6UuIgKA,Santina
269,kB86QlMBdkShAAZHVkT-Cw,Satay Malaysian Cuisine
270,Dxvp8z8dTLZ4xq4TKiGHbQ,Schnackenbergâ€™s Luncheonette
271,o2UMxj625W-az2HTPxX_GQ,Serafina Meatpacking
272,CJSi-7juDMs63GuQzCkDKA,Simply Juiced
273,kH9Y1IfDDh7zQh08ha2QTQ,Sorellina
274,Dx00wfNbsMtzHf6WRcwflg,South Street Fish & Ramen Co
275,Dx00wfNbsMtzHf6WRcwflg,South Street Fish & Ramen Co
276,_gidVC-iCZnQhZehky_5Vg,Spa Diner
277,J2IhzUy36HxWVPrXuUi05A,Spring Streets Finest Deli
278,7fWs8YZ6YbIMUMY_kO7Csg,Sri Thai Thai Restaurant
279,xxronuKiOOYIgo1OJxATKw,Stingray Lounge
280,5DrLujyGpFuIYFT3IAt5xw,STK Downtown
281,_jtr4k4mlgJCaJvuuqAFlA,STK Rooftop
282,4O2F46u4RppE-EAl5eJQFg,Sugar Factory
283,gZY2eRFH9W87flW8k-izgw,Surf Taco
284,yVoepFBALEHYS1eiRu2e7g,Sushi House
285,DUaHnoZE5x9vOj4oBA4U9g,Sushi Licious
286,sjPXJIiiOKZ9SNkCM-vhPg,Sushi Lounge
287,vhgya-6lHrV2B49dSpPjbg,T Thai
288,v9viTI7Fesvaf8Mzk0U6Qw,Takashi
289,kv-lP0CY7JRmCkhHPZhElA,Takumi Taco
290,zgrrLNKpJr30ez39jC_L7Q,Taqueria Restaurant Oaxaca
291,6ByIo4slB7gh4Yb-7FjWgQ,Taquitos Mexicanos
292,Pzfe55cHSjYbqVZb-k1icg,Tenth Street Pasta & Pizza
293,rmnhusHqqRYHu7PYA-VutA,Teri Teri Japanese Restaurant
294,zFmSLdq-XrcFbg_EScm2JA,Terranova Deli
295,Py_4nRy2CR1E-5SIy7NTCQ,"The Biergarten at The Standard, High Line"
296,zgg_R8dXuykAkvhXC-0bCw,The Brass Rail
297,L1FsvN4Obz_lKVJ8U7ba6w,The Butcherâ€™s Daughter
298,GmYMS51KieuFk0D67iyHJA,The Cheesecake Factory
299,OZ200TAHzPhxR6bgqrcWeg,The Clam
300,er22l37kEJDNsUn0P_o2VA,The Cliff
301,22Jgz5VwA2Se8EoFG2mOtg,The Cuban Restaurant and Bar
302,22Jgz5VwA2Se8EoFG2mOtg,The Cuban Restaurant and Bar
303,Gb1cIH5QFQPGcKqvNZNyQA,The Ear Inn
304,bYqium791OpFbnoCqETwag,The Hamilton Inn
305,rZ2EvUoJ8OXDH_8sjSBzJg,The Heights CafÃ©
306,0an8GyvXgpDX9sqjuN5LhQ,The Hudson Grill Pizza & Deli
307,aZvMlEseTF7z3W0z1Qlr_g,The Hutton
308,ET9UXFtfXdeV02z0LmaY3g,The Lobster Place
309,Rm3zk9gZfzV8W2V_pJ55pw,The Madison Bar & Grill
310,FViZZ237z7tc7D0hMYZflw,The Park
311,IfMfe1a5AfGsKylUoIGfMw,The Quarter
312,RdxN89U8m1Zw4dK842kwgQ,The Shepherd & the Knucklehead
313,gCTwVB2YKbjL3gCFxIa2yA,The Spotted Pig
314,YQ-BTlOwZKHrIEVmiifoWQ,The Standard Grill
315,xmPaig4ONbzx-dMUxu0rgw,The Stewed Cow
316,PU2Hg9vHA2LD7iLcw-KX3A,The Warren
317,mDMQqbpXBfSEINyGIhVFQ,The Wild Son
318,hCU1h0wxorcF9XBmMujP4g,Tommyâ€™s Family Restaurant
319,2YtlYDmjWiTumPF13NAJMQ,Tony Boloneyâ€™s
320,dLAWbCNTW4wBFBDZBEUqBw,Tony Dragonâ€™s Grille
321,WmyZU3Ppntw-6wyXwtkw4A,Toro
322,AgTI3g-BXTv_T5u7zuLgbg,Toscana
323,91jyE7qnCGIVwjcUp0LZYg,Trattoria Saporito
324,Vlj9uQ3P_LytTIT5mxUzlg,Tropical Juice Bar
325,hJr-8TqOGnwygP_0mdkzPg,Tropicana Restaurant
326,E1yECQXgqF_QD7yywmNA5A,Turks & Frogs
327,ihFMEm-5akpNpEvmiisOZQ,Turning Point of Hoboken
328,J0jv94IYD735pwf6ti-1VA,Tutta Pesca
329,J0jv94IYD735pwf6ti-1VA,Tutta Pesca
330,RFQcCqVG4l4bKTNoZyjUhA,Ubu
331,JU42zf9g9Z77a_-TYu2jRw,Ujala Kabab
332,t5IEHkxyiEs7Cc3qSerotg,Ultramarinos
333,nvUVRBTMpgWjBtsVDlLzCw,Union Bar & Kitchen
334,JWcx95_NcJervWOL3gND4w,Union Hall
335,x21c3L5G270nG2W_CSeiZA,Untitled
336,98FaWJ6avoHI2ekrhIVeVw,Upholstery Store: Food and Wine
337,fw_AoLWgtgEx-LEFODjjQw,Upright Brew House
338,Ovh-6Sonw4K6_wHtPpDsHw,Urban Coalhouse Pizza + Bar
339,Z7Ss2n1DaQqd5g9yaWCxtg,Valbella
340,VG3-06F6ZaEoMasEyAx98g,Ventura Restaurant
341,faaWrHESothOI01gPYeZ_Q,Very Fresh Noodles
342,WSX8BI2C_WKuCgMXgLcalQ,Village Pourhouse
343,ekRPxssDWh1WL946vf3QUg,Vinnieâ€™s Pizzeria & Restaurant
344,oSEbILpwGYKzVdtkT-qwGg,Vitoâ€™s Italian Deli
345,wtWWD0_EhhXE87V3xeIo5g,Viva Mexico
346,5fc1M-VpcAz41Ndqy00_Aw,Vivi Bubble Tea
347,RB-NcDiFIrydTJYFcUI7KQ,Wafels & Dinges
348,NZyF9mlxiGzu-zXwF5nvKQ,Wah Yoan
349,_Gir2U8k6rbg9bsco3ICUA,Wallse
350,Gom4BwjdCG9tlbCQ_M-I_w,Westville Hudson
351,y531aUK7hZKJSIi_Z4IQGg,White Star Bar
352,AvMj5rVctqGFWIuj-a8WDg,Wicked Wolf Tavern
353,Jeyc674yVKAdVjrLp0D3_g,Willie McBrides
354,9ao4Ch1QJs-gMra-WrRpaQ,Yeung II Sushi Asian Cuisine
355,46cQTD9-snA-U6YfC8vEHA,Zackâ€™s Oak Bar & Restaurant
356,46cQTD9-snA-U6YfC8vEHA,Zackâ€™s Oak Bar & Restaurant
357,ZUUWeP0oRXI2PI6NXz2VzQ,Zafra Kitchen
358,slpHnAZNXE5D0Hl2168URw,Zapâ€™s
359,4QTCWqhiibw1J-zWpIK6pQ,Zinburger Wine & Burger Bar
